text,category
bought banana from supermarket,Food
bought banana from supermarket,Food
bought banana from supermarket,Food
bought banana from supermarket,Food
bought banana from supermarket,Food
bought ps5 from supermarket,Entertainment
bought xbox from supermarket,Entertainment
bought wii from supermarket,Entertainment
chauchau,Food
tshirt,Shopping
scooter from home to office,Transportation
bag and shoes,Shopping
tshirt,Shopping
socks,Shopping
cellular plan,Utilities
freelancing,Freelance
Bought Tshirts from Bhatbhateni,Shopping
cab,Transportation
Project 101,Freelance
25000,Investment
Pocket Money,Other
Commission from Field Day,Commission
Spydo Genesis Salary,Salary
