Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
07/12/2022 19:50:04,Khalti,Food,Groceries,Food coloring natural,4279,Expense,NPR
17/02/2021 22:03:09,Debit Card,Health,Doctor Visit,Art therapy sessions,47834,Expense,NPR
17/01/2020 15:54:47,IME Pay,Food,Beverages,Hospital patient food,2558,Expense,NPR
27/12/2023 11:46:35,Net Banking,Education,Courses,Workshop on resume writing and interview skills,47583,Expense,NPR
20/09/2023 04:00:17,IME Pay,Food,Snacks,Bread from a local bakery,3144,Expense,NPR
06/07/2023 11:08:04,Net Banking,Entertainment,Games,Art supplies for a hobby,2872,Expense,NPR
21/12/2023 01:19:14,Cash,Utilities,Internet,Gas oven conversion,5349,Expense,NPR
28/06/2022 22:13:07,Cash,Transportation,Bus,Bus fare to a tourist destination,7378,Expense,NPR
08/02/2020 01:03:47,eSewa,Transportation,Micro,Micro fare to Kirtipur,11715,Expense,NPR
19/07/2022 04:24:44,Debit Card,Shopping,Personal Care,"Pooja items (idols, incense, oil lamps)",7030,Expense,NPR
28/03/2020 11:26:13,Credit Card,Utilities,Water,SSL certificate purchase,3346,Expense,NPR
01/10/2020 02:52:37,Credit Card,Education,Stationery,Graph paper and tracing paper,21285,Expense,NPR
03/01/2020 12:43:04,IME Pay,Utilities,Electricity,LPG gas pipe replacement,623,Expense,NPR
22/04/2024 14:49:53,Credit Card,Health,Health Insurance,Trigeminal neuralgia treatment,16494,Expense,NPR
27/02/2022 01:53:22,eSewa,Education,Courses,Fee for re-checking or re-totaling exam papers,11477,Expense,NPR
29/12/2020 03:41:54,UPI,Health,Lab Tests,Pre-natal check-ups,9449,Expense,NPR
22/01/2022 09:04:43,eSewa,Shopping,Personal Care,Wallet purchase,53359,Expense,NPR
31/08/2023 18:05:23,Credit Card,Shopping,Electronics,Extended warranty for an electronic device,14978,Expense,NPR
18/04/2024 09:09:09,Khalti,Food,Dining Out,Barbeque night supplies,1073,Expense,NPR
22/04/2024 01:13:38,IME Pay,Education,Tuition,Swimming lessons fee,22091,Expense,NPR
14/05/2024 20:25:51,Debit Card,Entertainment,Events,Graffiti art supplies,6140,Expense,NPR
12/05/2021 13:07:26,Debit Card,Transportation,Bus,Brake light switch repair,1132,Expense,NPR
22/06/2024 07:00:13,Mobile Banking,Transportation,Taxi,Tourist vehicle permit,8986,Expense,NPR
08/11/2024 19:38:52,IME Pay,Education,Books,Printing business cards for networking,33579,Expense,NPR
14/08/2023 10:37:34,eSewa,Education,Books,Buying reference books for a course,28919,Expense,NPR
12/12/2022 16:08:31,IME Pay,Health,Lab Tests,Follow-up visit to a doctor,20912,Expense,NPR
10/06/2021 22:23:19,Credit Card,Entertainment,Streaming,Regional cinema screening,7495,Expense,NPR
03/02/2024 07:02:52,eSewa,Transportation,Bus,Engine mounting replacement,13446,Expense,NPR
07/10/2024 07:33:05,eSewa,Transportation,Micro,Parking fee at Civil Mall,14455,Expense,NPR
13/07/2022 23:31:35,eSewa,Utilities,Gas,Gas fireplace installation,5973,Expense,NPR
26/10/2020 02:58:35,eSewa,Food,Groceries,Exotic vegetables import,701,Expense,NPR
24/05/2023 07:12:36,IME Pay,Education,Books,Living expenses for a student studying away from home,1748,Expense,NPR
23/07/2021 06:47:42,eSewa,Food,Snacks,Macadamia nuts imported,573,Expense,NPR
11/06/2020 20:18:29,Debit Card,Education,Courses,Buying a laptop for educational purposes,3574,Expense,NPR
15/12/2022 00:46:07,IME Pay,Health,Lab Tests,Hospital foundation donation,24546,Expense,NPR
14/11/2022 14:48:54,UPI,Transportation,Parking,Electric scooter charging cost,8821,Expense,NPR
29/11/2021 21:12:43,Debit Card,Entertainment,Streaming,Scrapbooking supplies,7667,Expense,NPR
11/12/2020 08:23:07,Cash,Food,Snacks,Potluck contribution,3065,Expense,NPR
14/04/2020 10:37:57,Mobile Banking,Health,Lab Tests,Purchase of a CPAP machine,28749,Expense,NPR
21/08/2024 09:15:19,Net Banking,Entertainment,Events,Hoichoi Bengali content,7836,Expense,NPR
18/09/2023 20:46:31,Mobile Banking,Health,Lab Tests,Buying prescription glasses,25631,Expense,NPR
01/02/2022 15:13:58,Debit Card,Shopping,Household,Thermometer,97679,Expense,NPR
22/07/2024 18:29:14,Net Banking,Education,Stationery,Audiobook for educational listening,30462,Expense,NPR
25/05/2023 08:18:50,Debit Card,Shopping,Household,Air fryer,74285,Expense,NPR
15/09/2024 12:25:35,Mobile Banking,Health,Doctor Visit,Nepal Cancer Hospital screening,16188,Expense,NPR
24/10/2021 09:33:06,Net Banking,Shopping,Electronics,Wardrobe or closet,55800,Expense,NPR
29/01/2024 23:07:21,Credit Card,Transportation,Taxi,Fuel injector cleaning,5889,Expense,NPR
14/12/2020 08:14:02,Khalti,Education,Courses,Textbook rental service fee,24059,Expense,NPR
